restaurant_name,original_location,awards,top_tags,price_level,cuisines,vegan_options,gluten_free,open_days_per_week,avg_rating,total_reviews_count,excellent,food,service,atmosphere
Restaurant Oddo,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Rubi""]","Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015","Mid-range, Seafood, Mediterranean, European",€€-€€€,"Seafood, Mediterranean, European, Spanish",N,N,7.0,4.0,221,1,4.5,4.0,4.5
Sol Dorado Restaurant,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Rubi""]",,"Mid-range, Mediterranean, Barbecue, European",€€-€€€,"Mediterranean, European, Spanish, Barbecue",Y,Y,6.0,3.5,282,1,4.0,4.0,4.0
Bar Restaurante Huelva,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Rubi""]","Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2017","Mid-range, Mediterranean, Spanish, Vegetarian Friendly",€€-€€€,"Mediterranean, Spanish",N,N,6.0,4.0,169,1,4.0,4.0,3.5
Restaurant Antic Hostal Del Gall,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Rubi""]","Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017","Mid-range, Mediterranean, Spanish, Vegetarian Friendly",€€-€€€,"Mediterranean, Spanish",N,N,7.0,4.5,154,1,4.0,4.0,4.0
Restaurante Can Vidal Ramos,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Esteve Sesrovires""]",Certificate of Excellence 2018,"Mid-range, Steakhouse, Mediterranean, Spanish",€€-€€€,"Steakhouse, Mediterranean, Spanish",Y,Y,6.0,4.0,195,5,4.0,4.0,3.5
Taula Casolana,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Esteve Sesrovires""]",Certificate of Excellence 2018,"Mid-range, Mediterranean, Spanish, Healthy",€€-€€€,"Mediterranean, Spanish, Healthy",N,N,7.0,4.0,179,4,3.5,4.0,4.5
L' Engruna d'en Pousa,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Torello""]","Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017","Cheap Eats, Mediterranean, Spanish",€,"Mediterranean, Spanish",N,N,6.0,4.5,119,1,4.5,4.5,
Cal Pupinet,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Castellbisbal""]","Certificate of Excellence 2017, Certificate of Excellence 2014","Mid-range, Mediterranean, European, Spanish",€€-€€€,"Mediterranean, European, Spanish",N,Y,7.0,4.0,265,2,4.0,4.0,4.5
Restaurante Can Campanya,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Castellbisbal""]","Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018","Mid-range, Mediterranean, European, Healthy",€€-€€€,"Mediterranean, European, Healthy",Y,Y,7.0,4.0,165,1,4.0,4.0,4.0
RESTAURANT CA L'ESTEVE S.L,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Castellbisbal""]","Michelin 2021 for The Michelin Plate: Good cooking, Michelin 2021 for Comfortable restaurant","Mid-range, Mediterranean, Spanish, Vegetarian Friendly",€€-€€€,"Mediterranean, Spanish",Y,Y,6.0,4.0,192,0,4.0,4.0,3.5
Arrels Restaurant,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Begues""]","Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017","Mid-range, Mediterranean, European, Spanish",€€-€€€,"Mediterranean, Spanish, European",N,Y,6.0,4.5,125,5,4.5,4.5,
Els Fogons Masia Can Roig,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Corbera de Llobregat""]","Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016","Mid-range, Mediterranean, Spanish, Vegetarian Friendly",€€-€€€,"Mediterranean, Spanish",Y,Y,6.0,4.5,158,2,4.5,4.5,4.5
Don Corbettone,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Corbera de Llobregat""]","Certificate of Excellence 2019, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015","Mid-range, Italian, Pizza, Mediterranean",€€-€€€,"Italian, Pizza, Mediterranean, European, Spanish, Healthy",Y,N,3.0,4.5,151,3,4.5,4.5,5.0
Can Gula,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Cugat del Valles""]",,"Mid-range, Mediterranean, European, Spanish",€€-€€€,"Mediterranean, European, Spanish, Catalan",Y,Y,6.0,3.5,203,8,4.0,3.5,
Sabàtic,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Cugat del Valles""]","Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018","Mid-range, Mediterranean, European, Spanish",€€-€€€,"Mediterranean, European, Spanish",Y,Y,6.0,4.5,306,22,4.5,4.5,
Restaurant Brau,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Cugat del Valles""]","Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018","Mid-range, Mediterranean, Spanish, Catalan",€€-€€€,"Mediterranean, Spanish, Catalan",Y,Y,6.0,4.5,283,7,5.0,5.0,
La Rita,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Cugat del Valles""]","Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018","Mid-range, International, Mediterranean, Spanish",€€-€€€,"Mediterranean, International, Spanish, Fusion",Y,Y,5.0,4.5,149,4,4.5,4.5,
Santamasa,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Cugat del Valles""]","Travellers' Choice, Certificate of Excellence 2020","Mid-range, Mediterranean, Spanish, Healthy",€€-€€€,"Mediterranean, Healthy, Spanish",Y,Y,7.0,4.0,189,2,4.0,3.5,
Némesis,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Cugat del Valles""]","Travellers' Choice, Certificate of Excellence 2020","Mid-range, International, Mediterranean, Spanish",€€-€€€,"Mediterranean, Spanish, International",Y,Y,6.0,4.5,208,10,4.5,4.5,
Garden Pizza,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Cugat del Valles""]",,"Mid-range, Italian, Pizza, Mediterranean",€€-€€€,"Pizza, Italian, Mediterranean",N,N,6.0,3.5,149,3,4.0,4.0,
Dos Cucharas Restaurant,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Cugat del Valles""]",,"Mid-range, Mediterranean, Spanish, Catalan",€€-€€€,"Mediterranean, Spanish, Catalan",Y,Y,6.0,4.5,160,6,4.5,4.5,
La Cuina de San Telmo,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Cugat del Valles""]",Certificate of Excellence 2018,"Mid-range, Seafood, Mediterranean, European",€€-€€€,"Seafood, Mediterranean, European, Spanish",N,N,6.0,4.0,168,7,4.0,4.0,3.5
Matilda,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Cugat del Valles""]",Certificate of Excellence 2013,"Mid-range, Brew Pub, Mediterranean, European",€€-€€€,"Mediterranean, European, Spanish, Brew Pub, Gastropub",Y,Y,7.0,3.5,640,35,4.0,3.5,4.0
Teleferic - Sant Cugat,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Cugat del Valles""]",,"Mid-range, Mediterranean, European, Spanish",€€-€€€,"Mediterranean, European, Spanish",N,N,6.0,3.5,233,14,4.0,4.0,4.0
Sugoi,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Cugat del Valles""]","Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015, Certificate of Excellence 2013","Mid-range, Japanese, Sushi, Asian",€€-€€€,"Japanese, Sushi, Asian",N,Y,6.0,4.0,339,13,4.5,4.0,4.0
El Mirador de Can Cases,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Cugat del Valles""]",Certificate of Excellence 2017,"Mid-range, Mediterranean, Barbecue, Catalan",€€-€€€,"Mediterranean, Barbecue, Catalan",N,Y,3.0,4.0,316,4,4.0,4.0,
Braseria La Bolera,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Cugat del Valles""]","Certificate of Excellence 2019, Certificate of Excellence 2013","Mid-range, Steakhouse, Mediterranean, Barbecue",€€-€€€,"Mediterranean, Barbecue, European, Spanish, Catalan, Steakhouse",N,Y,7.0,4.0,865,19,4.0,4.0,3.5
Bocca Restaurant & Club,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Cugat del Valles""]",Certificate of Excellence 2017,"Fine Dining, Mediterranean, European, Spanish",€€€€,"Mediterranean, Spanish, Fusion, European",N,N,6.0,3.5,196,4,4.0,3.5,4.5
Restaurant Masia Can Jané,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Cugat del Valles""]","Certificate of Excellence 2018, Certificate of Excellence 2016","Mid-range, Mediterranean, Barbecue, Spanish",€€-€€€,"Mediterranean, Spanish, Barbecue",N,N,3.0,4.0,102,2,4.0,4.0,3.5
Vulcano Restaurant,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Cugat del Valles""]","Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2017, Certificate of Excellence 2016","Mid-range, Mediterranean, European, Spanish",€€-€€€,"Mediterranean, European, Spanish",N,Y,6.0,4.0,207,5,4.0,4.0,4.5
Masia Can Borrell,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Cugat del Valles""]",,"Mid-range, Mediterranean, Barbecue, Catalan",€€-€€€,"Mediterranean, Barbecue, Catalan",Y,Y,5.0,3.5,385,7,3.5,3.5,3.0
Restaurant Can Barata,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Cugat del Valles""]",,"Mid-range, Mediterranean, European, Spanish",€€-€€€,"Mediterranean, European, Spanish",N,N,6.0,3.5,180,0,3.5,3.5,3.5
El Mexicano de Sant Cugat,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Cugat del Valles""]","Certificate of Excellence 2018, Certificate of Excellence 2017","Mid-range, Mexican, Latin, South American",€€-€€€,"Mexican, Latin, Central American, South American",N,N,6.0,4.0,158,4,4.0,3.5,3.5
QGAT Restaurant & Events,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Cugat del Valles""]",Certificate of Excellence 2015,"Mid-range, Spanish",€€-€€€,Spanish,N,N,,3.5,155,4,3.5,4.0,4.0
La Jarana Sant Cugat,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Cugat del Valles""]","Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2018, Certificate of Excellence 2017","Mid-range, Mediterranean, Spanish, Vegetarian Friendly",€€-€€€,"Mediterranean, Spanish",Y,N,4.0,4.5,120,1,4.5,4.0,
Restaurant Casa Blava,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Cugat del Valles""]",Certificate of Excellence 2014,"Mid-range, Steakhouse, Mediterranean, Barbecue",€€-€€€,"Steakhouse, Mediterranean, Barbecue, European, Spanish, Argentinian",N,Y,7.0,4.0,384,6,4.0,3.5,4.5
La Taqueria,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Cugat del Valles""]",,"Mid-range, Mexican, Latin, South American",€€-€€€,"Mexican, Latin, South American, Central American",N,N,7.0,3.5,138,4,3.5,3.5,4.0
La Burgueseria,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Cugat del Valles""]","Certificate of Excellence 2017, Certificate of Excellence 2015, Certificate of Excellence 2014","Mid-range, American, Bar",€€-€€€,"American, Bar",N,N,6.0,4.0,332,15,4.5,4.0,4.5
Il Fornetto,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Cugat del Valles""]","Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015, Certificate of Excellence 2014","Mid-range, Italian, Pizza, Mediterranean",€€-€€€,"Italian, Pizza, Mediterranean, European",Y,Y,6.0,4.0,369,6,4.5,4.5,4.5
Xarlot,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Cugat del Valles""]",,"Mid-range, International, Mediterranean, European",€€-€€€,"Mediterranean, European, Spanish, International",N,N,7.0,3.5,217,4,4.0,3.5,4.0
Cafe de Belgrado,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Cugat del Valles""]",,"Mid-range, Mediterranean, European, Spanish",€€-€€€,"Mediterranean, European, Spanish",N,Y,7.0,3.5,204,6,4.0,3.5,4.5
Casa Fuster Masia Sant Cugat,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Cugat del Valles""]",,"Mid-range, Mediterranean, European, Spanish",€€-€€€,"Mediterranean, European, Spanish, Catalan",Y,Y,6.0,3.5,489,6,3.5,3.5,4.0
Masia Can Ametller,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Cugat del Valles""]",,"Mid-range, Mediterranean, European, Catalan",€€-€€€,"Mediterranean, European, Catalan",Y,Y,6.0,3.5,570,12,4.0,4.0,4.0
La Rampa 23,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Cugat del Valles""]","Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015","Mid-range, Steakhouse, Mediterranean, Barbecue",€€-€€€,"Barbecue, Steakhouse, Mediterranean, European",N,Y,6.0,4.5,259,9,4.5,4.0,4.5
LABARRA San Cugat,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Cugat del Valles""]",,"Mid-range, Spanish, Healthy, Catalan",€€-€€€,"Healthy, Spanish, Catalan",Y,Y,7.0,3.5,963,38,4.0,3.5,4.0
Wall 57,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Cugat del Valles""]",,"Mid-range, Mediterranean, European, Spanish",€€-€€€,"Mediterranean, Spanish, European",Y,Y,7.0,4.0,145,3,4.0,4.0,4.0
La Tagliatella Sant Cugat del Vallès,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Cugat del Valles""]",,"Mid-range, Italian, Pizza, Mediterranean",€€-€€€,"Italian, Pizza, Mediterranean, European",N,N,7.0,3.5,126,5,3.5,3.5,3.5
Dakidaya,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Cugat del Valles""]","Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016","Mid-range, Japanese, Sushi, Asian",€€-€€€,"Japanese, Sushi, Asian, Fusion",Y,Y,7.0,4.5,252,4,4.5,4.5,4.5
La Pasta Boixa,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Cugat del Valles""]",,"Cheap Eats, Italian, Pizza, Mediterranean",€,"Italian, Pizza, Mediterranean",N,N,6.0,4.0,131,0,3.5,4.0,3.5
El Celler d'en Medir,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Cugat del Valles""]","Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2018, Certificate of Excellence 2017","Mid-range, Mediterranean, European, Spanish",€€-€€€,"Mediterranean, Spanish, European",N,N,4.0,4.0,128,4,4.0,4.0,4.0
Pizzeria La Bota,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Cugat del Valles""]","Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016","Mid-range, Italian, Pizza, European",€€-€€€,"Italian, Pizza, European",N,N,6.0,4.5,113,4,4.5,4.5,
Kitsune Sushi Bar,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Cugat del Valles""]","Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015","Mid-range, Japanese, Sushi, Asian",€€-€€€,"Japanese, Sushi, Asian, Healthy",Y,Y,7.0,4.5,837,27,4.5,4.0,3.5
Somewhere Sant Cugat,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Cugat del Valles""]","Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2015","Mid-range, Dessert, Cafe, International",€€-€€€,"Cafe, Mediterranean, European, International, Fusion",Y,Y,7.0,4.0,608,34,4.0,4.0,4.5
La Piazzetta,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Cugat del Valles""]",Certificate of Excellence 2018,"Mid-range, Italian, Pizza, Mediterranean",€€-€€€,"Pizza, Italian, Mediterranean, European",N,N,5.0,4.0,109,1,4.0,4.0,4.0
rancho el paso,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Cugat del Valles""]","Certificate of Excellence 2018, Certificate of Excellence 2017","Mid-range, Mediterranean, Spanish, Vegetarian Friendly",€€-€€€,"Mediterranean, Spanish",N,Y,6.0,4.0,109,2,4.0,4.5,
Pizzeria Lago Di Garda,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Cugat del Valles""]",,"Mid-range, Italian, Pizza, Vegetarian Friendly",€€-€€€,"Italian, Pizza",N,N,6.0,3.0,109,32,3.5,3.0,
Foodies,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Cugat del Valles""]","Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2018, Certificate of Excellence 2017","Mid-range, European, Fusion, Healthy",€€-€€€,"European, Healthy, Fusion",Y,Y,6.0,4.0,181,6,4.5,4.0,
El Meson,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Cugat del Valles""]","Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2017","Mid-range, Bar, Mediterranean, European",€€-€€€,"Bar, Mediterranean, European, Spanish, Catalan",Y,Y,6.0,4.0,294,9,4.0,4.0,4.0
El Vi de Deu,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Cugat del Valles""]","Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016","Mid-range, Mediterranean, European, Spanish",€€-€€€,"Mediterranean, European, Spanish, Wine Bar",Y,Y,7.0,4.5,302,9,4.5,4.5,4.5
9Reinas  Sant Cugat,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Cugat del Valles""]","Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016","Fine Dining, Steakhouse, Latin, Argentinian",€€€€,"Steakhouse, Latin, Argentinian, South American",N,Y,7.0,4.5,443,24,4.5,4.5,4.5
Sant Cugat 52,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Cugat del Valles""]",,"Mid-range, Mediterranean, Spanish",€€-€€€,"Spanish, Mediterranean",N,N,4.0,3.5,198,1,3.5,3.5,
Bodega Tomàs Original,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Cugat del Valles""]","Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017","Mid-range, Mediterranean, European, Spanish",€€-€€€,"Mediterranean, European, Spanish, Catalan",Y,Y,7.0,4.5,423,14,4.5,4.5,
La Tartine,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Cugat del Valles""]","Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017","Mid-range, French, Mediterranean, European",€€-€€€,"French, European, Mediterranean",Y,Y,7.0,4.5,117,3,4.5,4.5,
Can Cortes,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Sant Cugat del Valles""]",,"Mid-range, Mediterranean, Spanish, Contemporary",€€-€€€,"Mediterranean, Spanish, Contemporary, Healthy, Catalan",N,Y,6.0,3.5,626,7,3.5,3.5,4.0
El Pinos,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Seva""]","Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2018","Mid-range, Mediterranean, Spanish, Catalan",€€-€€€,"Mediterranean, Spanish, Catalan",N,Y,,4.0,178,5,4.0,4.0,4.0
El Taller,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Caldes d'Estrac""]","Certificate of Excellence 2018, Certificate of Excellence 2015","Mid-range, Mediterranean, Spanish, Catalan",€€-€€€,"Mediterranean, Spanish, Catalan",N,N,6.0,4.0,267,6,4.0,4.0,4.0
Can Sune,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Caldes d'Estrac""]","Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015, Certificate of Excellence 2014","Mid-range, Mediterranean, European, Spanish",€€-€€€,"Mediterranean, Spanish, Catalan, European",Y,Y,5.0,4.5,511,21,4.5,4.5,4.5
La Tasqueta de Caldes,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Caldes d'Estrac""]","Travellers' Choice, Certificate of Excellence 2020","Mid-range, Mediterranean, European, Spanish",€€-€€€,"Mediterranean, European, Spanish",Y,N,6.0,4.0,290,14,4.5,4.0,4.0
Tete a Tete,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Caldes d'Estrac""]","Certificate of Excellence 2017, Certificate of Excellence 2016","Mid-range, Mediterranean, European, Spanish",€€-€€€,"Mediterranean, European, Spanish, Healthy",Y,N,5.0,4.0,104,6,4.5,4.5,4.5
Pizzeria Estrac,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Caldes d'Estrac""]","Certificate of Excellence 2019, Certificate of Excellence 2017, Certificate of Excellence 2016","Mid-range, Italian, Pizza, Mediterranean",€€-€€€,"Italian, Pizza, European, Mediterranean",N,Y,6.0,4.0,160,6,4.0,4.0,
Sotavent Caldetes,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Caldes d'Estrac""]",,"Mid-range, Seafood, Mediterranean, European",€€-€€€,"Seafood, Mediterranean, European, Spanish, Catalan",Y,Y,7.0,3.5,302,15,4.0,3.5,4.5
Restaurant Marola,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Caldes d'Estrac""]",,"Mid-range, Mediterranean, Spanish, Gluten Free Options",€€-€€€,"Mediterranean, Spanish",N,Y,6.0,4.0,117,2,3.5,4.0,4.5
Solstici,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Caldes d'Estrac""]",,"Mid-range, Mediterranean, European, Spanish",€€-€€€,"Mediterranean, Spanish, European",N,N,,3.0,105,1,3.5,3.0,
Restaurante Charcuteria Coloma,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""El Masnou""]",Certificate of Excellence 2017,"Mid-range, Mediterranean, Spanish, Vegetarian Friendly",€€-€€€,"Mediterranean, Spanish",N,N,7.0,3.5,133,3,4.0,4.0,4.0
Restaurant El Nàutic,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""El Masnou""]",Certificate of Excellence 2019,"Mid-range, Mediterranean, Spanish, Vegetarian Friendly",€€-€€€,"Mediterranean, Spanish",Y,Y,7.0,4.0,105,2,4.0,4.0,
La Santa,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""El Masnou""]",,"Mid-range, Mediterranean, European, Spanish",€€-€€€,"Mediterranean, European, Spanish",Y,Y,7.0,4.0,437,12,4.5,4.0,4.0
Tresmacarrons Vermut Restaurant,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""El Masnou""]","Travellers' Choice, Michelin 2021 for One Michelin Star: High quality cooking, worth a stop!, Michelin 2021 for Comfortable restaurant","Fine Dining, Mediterranean, Spanish, Contemporary",€€€€,"Mediterranean, Spanish, Contemporary",Y,Y,5.0,4.5,288,17,4.5,4.5,4.0
Hashi,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""El Masnou""]","Certificate of Excellence 2019, Certificate of Excellence 2017, Certificate of Excellence 2016","Mid-range, Japanese, Sushi, Asian",€€-€€€,"Japanese, Sushi, Asian, Healthy",N,Y,5.0,4.5,111,5,4.5,4.0,4.0
Les Caves Rekondo,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""El Masnou""]","Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016","Mid-range, Mediterranean, Spanish, Vegetarian Friendly",€€-€€€,"Mediterranean, Spanish",Y,N,6.0,4.0,176,2,4.0,4.5,4.5
Saloma Port del Masnou,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""El Masnou""]","Certificate of Excellence 2019, Certificate of Excellence 2016","Mid-range, Mediterranean, European, Spanish",€€-€€€,"Mediterranean, European, Spanish, Deli, Healthy",Y,Y,6.0,4.0,296,5,4.0,4.5,4.0
Restaurant Ple de bo,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""El Masnou""]","Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016","Mid-range, International, Mediterranean, European",€€-€€€,"Mediterranean, European, Spanish, International, Contemporary",Y,Y,6.0,4.5,214,5,4.5,4.5,4.5
Ristorante da Mika,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""El Masnou""]","Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017","Mid-range, Italian, Pizza, Mediterranean",€€-€€€,"Italian, Pizza, Mediterranean, European",Y,Y,7.0,4.5,341,35,4.5,4.5,
Lolas Lounge,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""El Masnou""]",,"Mid-range, Mediterranean, Spanish",€€-€€€,"Mediterranean, Spanish",N,N,7.0,3.5,128,2,3.5,4.0,
El Corral Del Pollo,"[""Europe"", ""Spain"", ""Catalonia"", ""Province of Barcelona"", ""Palafolls""]",,"Mid-range, Barbecue, Spanish",€€-€€€,"Barbecue, Spanish",N,N,,3.0,201,2,3.0,3.0,3.0
